iter	Passed	Remaining
0	1	1681
1	2	1056
2	2	848
3	3	793
4	3	754
5	6	1019
6	7	1036
7	8	1066
8	9	1097
9	11	1108
10	12	1109
11	13	1122
12	14	1123
13	15	1084
14	15	1045
15	17	1066
16	18	1095
17	20	1101
18	21	1119
19	23	1127
20	24	1143
21	26	1156
22	27	1173
23	29	1214
24	31	1222
25	32	1231
26	34	1258
27	36	1263
28	38	1291
29	40	1306
30	41	1297
31	42	1283
32	43	1280
33	44	1273
34	46	1279
35	47	1284
36	49	1284
37	51	1294
38	52	1301
39	54	1303
40	56	1316
41	57	1318
42	59	1327
43	61	1337
44	63	1348
45	65	1363
46	67	1361
47	68	1367
48	70	1377
49	72	1382
50	74	1387
51	76	1391
52	77	1382
53	78	1383
54	80	1384
55	82	1386
56	84	1390
57	84	1375
58	86	1382
59	88	1383
60	89	1383
61	91	1382
62	92	1369
63	93	1371
64	95	1369
65	96	1368
66	97	1361
67	99	1359
68	100	1353
69	101	1347
70	103	1348
71	104	1344
72	105	1340
73	106	1335
74	107	1328
75	109	1327
76	110	1330
77	112	1330
78	113	1317
79	114	1314
80	115	1315
81	117	1313
82	119	1316
83	120	1317
84	122	1318
85	123	1316
86	125	1317
87	127	1316
88	128	1314
89	129	1313
90	130	1305
91	132	1307
92	134	1309
93	135	1309
94	137	1313
95	139	1316
96	141	1319
97	143	1319
98	145	1321
99	146	1318
100	147	1316
101	149	1315
102	150	1310
103	153	1318
104	154	1314
105	155	1315
106	157	1314
107	158	1310
108	160	1309
109	161	1307
110	162	1302
111	162	1291
112	164	1291
113	166	1292
114	167	1291
115	169	1293
116	171	1291
117	172	1290
118	174	1289
119	175	1288
120	177	1288
121	179	1288
122	180	1287
123	182	1286
124	183	1285
125	185	1289
126	187	1286
127	188	1286
128	190	1284
129	192	1285
130	193	1285
131	194	1276
132	195	1275
133	196	1270
134	198	1270
135	199	1265
136	200	1265
137	202	1262
138	203	1261
139	205	1262
140	207	1262
141	208	1259
142	210	1260
143	211	1259
144	212	1251
145	213	1250
146	215	1250
147	217	1251
148	219	1251
149	220	1251
150	221	1247
151	223	1245
152	225	1246
153	226	1242
154	227	1241
155	229	1242
156	231	1243
157	233	1242
158	235	1245
159	237	1244
160	238	1242
161	239	1240
162	241	1239
163	242	1237
164	244	1235
165	245	1233
166	246	1231
167	248	1232
168	250	1232
169	251	1227
170	254	1231
171	255	1230
172	256	1228
173	258	1227
174	260	1226
175	262	1227
176	263	1226
177	265	1225
178	267	1228
179	268	1224
180	269	1219
181	270	1217
182	272	1217
183	273	1214
184	275	1212
185	276	1211
186	278	1210
187	280	1213
188	282	1212
189	284	1211
190	285	1208
191	286	1206
192	288	1205
193	289	1203
194	291	1202
195	292	1199
196	292	1194
197	294	1193
198	296	1193
199	298	1192
200	300	1192
201	301	1191
202	302	1189
203	304	1187
204	305	1185
205	307	1186
206	308	1180
207	309	1179
208	312	1182
209	314	1181
210	316	1183
211	317	1178
212	319	1179
213	321	1181
214	323	1181
215	325	1180
216	326	1179
217	328	1178
218	330	1177
219	331	1176
220	333	1174
221	335	1174
222	336	1172
223	338	1171
224	339	1170
225	341	1168
226	342	1167
227	344	1167
228	346	1168
229	349	1169
230	350	1168
231	352	1166
232	353	1165
233	355	1164
234	356	1161
235	358	1159
236	359	1158
237	361	1156
238	362	1154
239	363	1152
240	365	1151
241	367	1151
242	369	1151
243	370	1149
244	372	1148
245	374	1147
246	376	1147
247	377	1146
248	379	1143
249	380	1142
250	382	1140
251	383	1139
252	385	1138
253	387	1137
254	388	1135
255	390	1133
256	392	1133
257	393	1132
258	396	1133
259	398	1133
260	400	1132
261	402	1132
262	403	1130
263	404	1128
264	406	1127
265	407	1125
266	409	1123
267	411	1122
268	412	1122
269	415	1122
270	416	1121
271	418	1120
272	420	1119
273	421	1118
274	423	1117
275	425	1115
276	426	1114
277	428	1113
278	430	1112
279	432	1113
280	435	1113
281	437	1113
282	440	1115
283	442	1114
284	444	1114
285	445	1113
286	447	1112
287	449	1110
288	451	1110
289	453	1110
290	455	1108
291	457	1108
292	458	1107
293	460	1106
294	462	1105
295	464	1104
296	465	1102
297	467	1101
298	469	1100
299	472	1101
300	473	1100
301	475	1099
302	477	1098
303	479	1098
304	481	1097
305	482	1094
306	483	1092
307	485	1089
308	486	1088
309	488	1087
310	490	1087
311	492	1085
312	494	1084
313	496	1085
314	498	1084
315	500	1083
316	502	1081
317	503	1080
318	505	1079
319	507	1077
320	508	1076
321	510	1075
322	512	1074
323	514	1073
324	516	1071
325	518	1071
326	520	1070
327	521	1068
328	523	1067
329	525	1066
330	527	1066
331	529	1064
332	531	1063
333	532	1062
334	534	1060
335	535	1059
336	537	1056
